date,open,high,low,close
2018-08-20,2379.59,2396.18,2249.07,2319.12
2018-08-21,2322.81,2485.04,2320.97,2470.29
2018-08-22,2453.7,2476.93,2410.56,2454.44
2018-08-23,2463.28,2514.9,2435.26,2490.94
2018-08-24,2476.19,2544.4,2452.96,2506.05
2018-08-27,2515.27,2636.2,2512.69,2593.8
2018-08-28,2598.6,2613.35,2563.94,2600.44
2018-08-29,2588.27,2599.33,2558.78,2572.42
2018-08-30,2575.37,2591.96,2499.79,2506.79
2018-08-31,2488.72,2488.72,2386.23,2438.95
2018-09-03,2401.71,2426.05,2378.11,2421.62
2018-09-04,2433.42,2449.64,2378.11,2423.46
2018-09-05,2422.36,2444.48,2388.44,2388.81
2018-09-06,2359.68,2393.6,2341.24,2344.93
2018-09-07,2361.52,2444.11,2361.52,2419.41
2018-09-10,2426.05,2442.64,2348.25,2358.94
2018-09-11,2362.63,2424.2,2341.98,2386.59
2018-09-12,2383.65,2383.65,2249.07,2263.82
2018-09-13,2307.32,2315.44,2051.82,2171.64
2018-09-14,2167.22,2173.49,2086.84,2143.25
2018-09-17,2114.86,2171.64,2034.86,2042.6
2018-09-18,2042.6,2125.92,1999.46,2118.55
2018-09-19,2112.65,2225.47,2096.06,2180.86
2018-09-20,2180.86,2223.63,2157.26,2182.34
2018-09-21,2185.65,2258.29,2148.05,2242.43
2018-09-25,2213.67,2292.21,2204.83,2267.5
2018-09-26,2282.62,2355.99,2255.71,2311.75
2018-09-27,2306.59,2359.68,2288.89,2313.59
2018-09-28,2290.73,2352.31,2290.73,2341.24
2018-10-08,2285.94,2285.94,2145.47,2152.84
2018-10-09,2145.83,2195.98,2145.1,2166.85
2018-10-10,2196.71,2208.51,2101.59,2143.62
2018-10-11,1990.98,2087.58,1979.92,2048.13
2018-10-12,2058.45,2142.52,2023.79,2112.65
2018-10-15,2108.96,2180.12,2105.65,2123.34
2018-10-16,2131.09,2188.97,2113.76,2138.83
2018-10-17,2167.96,2199.3,2053.66,2143.25
2018-10-18,2134.77,2157.26,2024.53,2044.07
2018-10-19,2027.48,2123.71,2002.04,2086.84
2018-10-22,2120.02,2295.53,2119.29,2256.81
2018-10-23,2244.28,2268.61,2182.7,2225.1
2018-10-24,2222.15,2224.37,2096.06,2159.11
2018-10-25,2072.09,2115.23,2031.17,2094.22
2018-10-26,2137.72,2169.8,2102.33,2131.09
2018-10-29,2131.09,2131.09,2027.85,2083.52
2018-10-30,2099.01,2193.76,2066.56,2152.1
2018-10-31,2171.64,2285.94,2167.96,2270.45
2018-11-01,2299.21,2374.43,2274.14,2304.37
2018-11-02,2414.98,2501.63,2387.33,2492.41
2018-11-05,2456.28,2464.76,2389.91,2433.05
2018-11-06,2433.42,2440.06,2379.96,2411.67
2018-11-07,2422.36,2438.21,2382.17,2391.76
2018-11-08,2420.88,2429.73,2388.07,2407.24
2018-11-09,2385.49,2414.25,2351.94,2377.01
2018-11-12,2376.27,2429.73,2336.82,2397.66
2018-11-13,2355.26,2433.42,2348.99,2411.3
2018-11-14,2422.36,2436.74,2359.68,2364.47
2018-11-15,2344.93,2368.16,2293.31,2368.16
2018-11-16,2352.31,2354.52,2274.14,2297.37
2018-11-19,2303.64,2363.0,2287.78,2334.24
2018-11-20,2319.49,2345.3,2297.0,2309.54
2018-11-21,2285.94,2376.27,2281.52,2360.42
2018-11-22,2359.68,2383.65,2323.18,2334.61
2018-11-23,2322.07,2346.78,2299.58,2309.17
2018-11-26,2322.44,2327.97,2285.94,2306.22
2018-11-27,2315.07,2328.71,2289.63,2304.74
2018-11-28,2317.65,2387.7,2293.31,2376.64
2018-11-29,2385.49,2406.5,2361.15,2361.15
2018-11-30,2374.43,2418.67,2352.31,2413.14
2018-12-03,2473.98,2488.72,2418.67,2468.08
2018-12-04,2469.92,2481.35,2433.79,2468.45
2018-12-05,2433.79,2516.01,2429.0,2466.97
2018-12-06,2426.41,2447.8,2230.63,2309.91
2018-12-07,2271.19,2278.2,2139.93,2152.47
2018-12-10,2119.29,2193.03,2092.0,2175.33
2018-12-11,2177.17,2233.95,2177.17,2216.62
2018-12-12,2242.06,2245.38,2157.63,2169.43
2018-12-13,2175.7,2237.64,2156.89,2209.25
2018-12-14,2189.71,2208.51,2148.41,2171.64
2018-12-17,2153.95,2155.79,2043.34,2108.6
2018-12-18,2104.54,2131.09,2083.15,2094.95
2018-12-19,2101.59,2108.6,2027.85,2031.91
2018-12-20,2015.68,2031.91,1945.63,1952.27
2018-12-21,1939.36,1939.36,1839.44,1846.82
2018-12-24,1865.62,1961.48,1858.25,1960.01
2018-12-25,1928.67,1982.87,1915.4,1969.23
2018-12-26,1965.54,1976.23,1917.24,1917.24
2018-12-27,1935.67,1965.17,1891.43,1898.8
2018-12-28,1915.77,1950.05,1906.55,1944.89
2019-01-02,1964.8,1987.66,1937.15,1953.0
2019-01-03,1925.72,1942.31,1847.92,1882.95
2019-01-04,1854.56,2008.68,1835.39,2003.88
2019-01-07,1990.98,1994.67,1950.42,1975.13
2019-01-08,1967.01,2004.25,1967.01,1990.24
2019-01-09,2009.41,2072.83,1994.67,2047.39
2019-01-10,2031.17,2110.44,2017.53,2074.67
2019-01-11,2072.09,2083.52,2028.96,2062.88
2019-01-14,2062.88,2062.88,1995.04,2003.15
2019-01-15,2009.41,2082.79,2003.15,2080.94
2019-01-16,2080.57,2138.09,2046.28,2118.92
2019-01-17,2114.49,2154.68,2106.01,2114.86
2019-01-18,2134.77,2204.09,2120.76,2181.6
2019-01-21,2173.85,2229.16,2169.8,2177.91
2019-01-22,2186.39,2186.39,2103.43,2127.03
2019-01-23,2116.34,2152.47,2110.07,2139.2
2019-01-24,2134.77,2200.4,2116.34,2189.34
2019-01-25,2188.23,2204.09,2168.32,2174.96
2019-01-28,2136.62,2136.62,2009.41,2021.21
2019-01-29,2028.22,2110.44,2019.74,2108.23
2019-01-30,2101.59,2156.16,2095.32,2116.34
